COUNTY,fips,BIDEN VOTES,BIDEN PCT,TRUMP VOTES,TRUMP PCT,PERDUE VOTES,PERDUE PCT,OSSOFF VOTES,OSSOFF PCT,WARNOCK VOTES,WARNOCK PCT,LOEFFLER VOTES,LOEFFLER PCT,OSSOFF VOTES 2,OSSOFF PCT 2,PERDUE VOTES 2,PERDUE PCT 2,WARNOCK VOTES 2,WARNOCK PCT 2,LOEFFLER VOTES 2,LOEFFLER PCT 2,TOTAL VOTERS
Murray County,13213,"2,302",15,"12,943",84.1,"12,493",82.5,"2,296",15.2,765,5.2,"6,300",42.8,"2,031",15.6,"10,957",84.4,"2,023",15.6,"10,960",84.4,22340
Muscogee County,13215,"49,529",61.5,"30,049",37.3,"30,226",38,"47,552",59.8,"32,560",41,"15,307",19.3,"44,875",62.8,"26,626",37.2,"45,049",63,"26,473",37,132029
Newton County,13217,"29,794",54.9,"23,869",44,"23,408",43.5,"29,220",54.3,"20,450",38.2,"13,443",25.1,"28,137",57.7,"20,614",42.3,"28,284",58,"20,488",42,79098
Oconee County,13219,"8,162",32.4,"16,595",65.9,"17,108",68,"7,465",29.7,"5,448",21.9,"9,914",39.8,"7,320",31.1,"16,217",68.9,"7,494",31.8,"16,038",68.2,30051
Oglethorpe County,13221,"2,436",30,"5,593",68.8,"5,500",68.3,"2,323",28.8,"1,720",21.6,"2,901",36.4,"2,236",31,"4,983",69,"2,258",31.3,"4,957",68.7,10848
Paulding County,13223,"29,704",34.8,"54,525",63.9,"53,485",63.3,"28,755",34,"19,118",22.8,"30,597",36.4,"27,024",36.6,"46,805",63.4,"27,276",36.9,"46,551",63.1,115297
Peach County,13225,"5,920",47.2,"6,502",51.8,"6,483",52.1,"5,702",45.9,"4,032",32.6,"3,358",27.2,"4,715",46.4,"5,453",53.6,"4,729",46.5,"5,439",53.5,18164
Pickens County,13227,"2,808",16.4,"14,075",82.2,"13,860",81.7,"2,678",15.8,"2,076",12.3,"6,003",35.7,"2,548",16.8,"12,601",83.2,"2,612",17.2,"12,532",82.8,23820
Pierce County,13229,"1,100",12.2,"7,899",87.3,"7,810",87.4,"1,002",11.2,478,5.4,"2,821",32.1,956,12.1,"6,972",87.9,947,11.9,"6,980",88.1,12735
Pike County,13231,"1,505",14,"9,127",85.1,"9,045",84.9,"1,430",13.4,"1,118",10.6,"4,965",46.9,"1,368",14.2,"8,249",85.8,"1,386",14.4,"8,225",85.6,13825
Polk County,13233,"3,658",21,"13,589",78.1,"13,282",77.1,"3,537",20.5,"2,331",13.7,"6,942",40.8,"3,305",22.3,"11,546",77.7,"3,325",22.4,"11,525",77.6,24256
Pulaski County,13235,"1,217",30,"2,805",69.1,"2,787",69.6,"1,139",28.4,815,20.5,"1,480",37.2,"1,117",30.4,"2,563",69.6,"1,137",30.9,"2,542",69.1,5712
Putnam County,13237,"3,448",29.1,"8,291",69.9,"8,279",70.4,"3,299",28,"2,445",20.9,"4,208",36,"3,160",29.2,"7,676",70.8,"3,195",29.5,"7,638",70.5,16000
Quitman County,13239,497,44.9,604,54.6,600,55.3,470,43.3,283,26.3,285,26.5,463,45.8,548,54.2,464,45.8,548,54.2,1553
Rabun County,13241,"1,984",20.7,"7,474",78.1,"7,392",78,"1,825",19.3,"1,223",13,"2,475",26.4,"1,787",21.3,"6,618",78.7,"1,833",21.8,"6,566",78.2,13074
Randolph County,13243,"1,671",54.4,"1,391",45.3,"1,404",46.2,"1,606",52.8,"1,179",39,706,23.4,"1,672",56.4,"1,290",43.6,"1,678",56.6,"1,289",43.4,4338
Richmond County,13245,"59,124",67.9,"26,781",30.8,"27,052",31.5,"56,786",66.1,"34,331",40,"15,394",18,"53,450",69.3,"23,639",30.7,"53,623",69.5,"23,501",30.5,135428
Rockdale County,13247,"31,244",69.9,"13,012",29.1,"12,716",28.7,"30,641",69.2,"21,942",49.6,"7,323",16.6,"29,463",72.4,"11,244",27.6,"29,555",72.6,"11,162",27.4,65573
Schley County,13249,462,20.3,"1,800",79.1,"1,783",79,439,19.5,315,14.2,774,34.8,435,21.1,"1,623",78.9,438,21.3,"1,618",78.7,2890
Screven County,13251,"2,661",40.1,"3,916",59.1,"3,893",59.5,"2,589",39.5,"1,685",26.1,"2,078",32.2,"2,408",40.7,"3,509",59.3,"2,427",41,"3,496",59,9610
Seminole County,13253,"1,254",32.3,"2,611",67.2,"2,597",67.7,"1,187",30.9,419,11.2,"1,021",27.3,"1,145",32.8,"2,348",67.2,"1,142",32.7,"2,353",67.3,5937
Spalding County,13255,"11,784",39.1,"18,057",60,"17,768",59.7,"11,355",38.2,"8,543",28.8,"9,759",32.8,"10,951",40.7,"15,935",59.3,"11,039",41.1,"15,850",58.9,46088
Stephens County,13257,"2,385",20.1,"9,368",78.8,"9,353",79.5,"2,187",18.6,"1,144",9.8,"2,126",18.3,"2,058",20.5,"7,979",79.5,"2,059",20.5,"7,975",79.5,18078
Stewart County,13259,"1,182",59.4,801,40.3,803,41.1,"1,115",57.1,764,40.1,327,17.2,"1,107",61.7,686,38.3,"1,107",61.8,685,38.2,2909
Sumter County,13261,"6,318",52,"5,732",47.2,"5,743",47.8,"6,114",50.9,"4,474",37.4,"2,553",21.3,"5,847",52.8,"5,230",47.2,"5,869",53,"5,210",47,18033
