COUNTY NAME,AI MALE VOTERS,AI FEMALE VOTERS,AI UNKNOWN VOTERS,AP MALE VOTERS,AP FEMALE VOTERS,AP UNKNOWN VOTERS,BH MALE VOTERS,BH FEMALE VOTERS,BH UNKNOWN VOTERS,HP MALE VOTERS,HP FEMALE VOTERS,HP UNKNOWN VOTERS,WH MALE VOTERS,WH FEMALE VOTERS,WH UNKNOWN VOTERS,OT MALE VOTERS,OT FEMALE VOTERS,OT UNKNOWN VOTERS,UK MALE VOTERS,UK FEMALE VOTERS,UK UNKNOWN VOTERS,TOTAL VOTERS,PER CAPITA INCOME,MEDIAN HOUSEHOLD INCOME,MEDIAN FAMILY INCOME,POVERTY RATE
WALKER,33,37,0,68,68,0,607,755,1,131,150,0,16988,19390,34,123,183,0,2314,2154,14,43050,19440,38723,46307,15.5
WALTON,79,58,1,337,311,4,4573,5881,17,621,703,3,23123,25422,44,414,497,6,4087,3919,29,70129,22521,51721,58750,11.9
WARE,22,10,0,52,60,0,2013,3057,4,100,111,0,6214,7279,15,66,122,0,778,669,8,20580,18295,35517,47609,23.6
WARREN,3,2,0,3,5,0,904,1173,4,5,7,0,726,770,0,13,12,0,98,64,0,3789,15987,31043,36925,25.7
WASHINGTON,10,1,0,16,13,0,2560,3671,3,21,31,0,2814,3159,3,31,30,0,347,284,0,12994,15033,31382,41055,25.9
WAYNE,11,17,0,34,48,0,1155,1663,0,125,145,1,6300,7193,10,68,76,0,698,619,1,18164,18393,37340,45649,18.6
WEBSTER,1,0,0,1,2,0,339,410,1,3,6,1,426,467,1,7,8,0,15,25,0,1713,16295,25708,40441,22.7
WHEELER,1,1,0,0,2,0,373,457,0,15,13,0,1041,1098,1,10,6,0,81,70,0,3169,10043,35422,45042,39.6
WHITE,17,31,0,29,38,1,119,113,0,87,102,0,8931,9628,11,68,63,0,731,659,2,20630,23680,41756,50981,14.1
WHITFIELD,49,38,0,228,284,1,1021,1139,1,4199,4443,16,17593,20078,50,308,357,2,2567,2386,19,54779,19780,42345,48991,14.2
WILCOX,4,1,0,5,10,0,533,705,0,22,25,0,1483,1631,1,15,11,0,64,52,0,4562,12692,30784,40552,30.8
WILKES,6,6,0,17,14,0,1108,1470,6,23,19,0,1819,1936,1,20,33,0,202,152,4,6836,16993,28022,39109,20.3
WILKINSON,4,6,0,2,10,0,1113,1405,4,7,15,0,1748,1847,3,16,21,0,143,140,0,6484,17929,37902,49138,23.3
WORTH,6,9,0,9,23,0,1481,1917,4,41,40,0,4582,4903,7,42,38,0,421,320,4,13847,18348,38670,46791,20.5
